flight,from,status,scheduled_time,day
UA 6695,ELP,Arrived,2:31 PM,today
UA 5992,FAR,Arrived,1:00 PM,today
UA 6084,FAR,Now 07:29 PM,5:50 PM,today
UA 5878,XNA,Arrived,2:24 PM,today
UA 6675,FAT,On Time,4:35 PM,today
UA 6590,GCC,Arrived,2:42 PM,today
UA 6938,GJT,Arrived,1:04 PM,today
UA 6128,GJT,Arrived,2:44 PM,today
UA 6141,GJT,Now 05:37 PM,4:54 PM,today
UA 6615,GTF,Arrived,3:28 PM,today
UA 6702,GUC,Arrived,2:11 PM,today
UA 6927,HLN,Arrived,3:26 PM,today
UA 7566,IAH,Arrived,12:03 PM,today
UA 3480,IAH,Arrived,1:28 PM,today
UA 3850,IAH,Arrived,2:33 PM,today
UA 3481,IAH,Arrived,3:53 PM,today
UA 3804,IAH,On Time,5:16 PM,today
UA 6570,HSV,On Time,4:54 PM,today
UA 6534,IDA,Arrived,2:50 PM,today
UA 7522,IND,Now 04:47 PM,4:55 PM,today
UA 426,JAC,Arrived,3:01 PM,today
UA 6186,MCI,Arrived,1:00 PM,today
UA 701,MCI,On Time,5:47 PM,today
UA 6721,LAS,Arrived,12:48 PM,today
UA 98,LAS,Arrived,3:00 PM,today
UA 174,LAS,Arrived,3:54 PM,today
UA 6700,LNK,Arrived,1:34 PM,today
UA 5887,ORD,Now 05:09 PM,5:20 PM,today
UA 814,LAX,Arrived,2:24 PM,today
UA 336,LAX,Arrived,3:58 PM,today
UA 6151,ORD,Now 07:13 PM,5:55 PM,today
UA 6641,MSN,Arrived,2:49 PM,today
UA 6033,MEM,Now 04:45 PM,4:59 PM,today
UA 6467,MAF,Arrived,2:44 PM,today
UA 7534,MSP,Arrived,1:00 PM,today
UA 7588,MSP,On Time,5:42 PM,today
UA 6871,MOT,Now 04:26 PM,4:00 PM,today
UA 6735,MSO,Arrived,2:50 PM,today
UA 6627,MLI,Arrived,2:31 PM,today
UA 6119,MTJ,Arrived,1:30 PM,today
UA 6696,MTJ,On Time,5:18 PM,today
UA 6097,BNA,Now 06:08 PM,5:26 PM,today
UA 630,MSY,Now 04:58 PM,4:46 PM,today
UA 405,LGA,Arrived,1:00 PM,today
UA 745,LGA,Now 05:14 PM,5:43 PM,today
UA 3603,EWR,Arrived,1:00 PM,today
UA 3602,EWR,Now 05:08 PM,5:03 PM,today
UA 726,OAK,Now 05:37 PM,5:50 PM,today
UA 735,OKC,Arrived,2:23 PM,today
UA 5882,OKC,Now 05:52 PM,5:43 PM,today
UA 7461,OMA,Landed,12:48 PM,today
UA 6834,OMA,Now 05:07 PM,5:00 PM,today
UA 716,ONT,Now 04:25 PM,4:49 PM,today
UA 6437,SNA,Arrived,2:44 PM,today
UA 408,SNA,Now 04:30 PM,4:40 PM,today
UA 259,MCO,Arrived,12:40 PM,today
UA 215,MCO,Now 05:35 PM,5:43 PM,today
UA 6621,PSP,Arrived,1:57 PM,today
UA 7005,PSP,Now 04:18 PM,4:09 PM,today
UA 6565,PSC,Arrived,3:01 PM,today
UA 6614,PSC,On Time,5:54 PM,today
UA 6760,PHX,Arrived,2:26 PM,today
UA 1272,SFO,Arrived,3:04 PM,today
UA 714,PHX,Now 04:22 PM,4:40 PM,today
UA 6910,PIT,Now 06:47 PM,5:45 PM,today
UA 6876,PDX,Arrived,2:49 PM,today
UA 872,PVR,Arrived,3:49 PM,today
UA 6607,RAP,Arrived,1:00 PM,today
UA 6643,ORD,Arrived,3:27 PM,today
UA 6748,RDM,Now 04:13 PM,3:02 PM,today
UA 6883,YQR,On Time,4:21 PM,today
UA 32,RNO,Arrived,2:50 PM,today
UA 281,RNO,Now 06:09 PM,5:58 PM,today
UA 6649,RKS,Now 04:11 PM,4:25 PM,today
UA 6881,SMF,Now 04:28 PM,2:40 PM,today
UA 448,SMF,On Time,5:13 PM,today
UA 7448,ORD,Arrived,12:54 PM,today
UA 7435,STL,Cancelled,5:57 PM,today
UA 252,SLC,Arrived,3:03 PM,today
UA 7396,SAT,Arrived,1:01 PM,today
UA 7650,SAT,On Time,4:42 PM,today
UA 342,SAN,Arrived,2:54 PM,today
UA 862,SGN,Arrived,2:34 PM,today
UA 753,SFO,On Time,4:22 PM,today
UA 6878,SJC,Arrived,3:03 PM,today
UA 6762,SBA,Now 06:25 PM,5:55 PM,today
UA 6306,YXE,On Time,5:05 PM,today
UA 876,SIN,Arrived,3:01 PM,today
UA 6937,FSD,Arrived,1:51 PM,today
UA 6960,FSD,Now 05:36 PM,5:49 PM,today
UA 6819,GEG,Arrived,2:43 PM,today
UA 212,GEG,On Time,4:50 PM,today
UA 6727,SGF,Arrived,2:21 PM,today
UA 6573,HDN,Arrived,1:39 PM,today
UA 8441,YYZ,Now 03:59 PM,4:05 PM,today
UA 7632,YYZ,Now 04:35 PM,4:41 PM,today
UA 6981,TUS,Now 04:04 PM,3:39 PM,today
UA 6116,TUL,Arrived,12:54 PM,today
UA 6999,TUL,Now 05:25 PM,5:12 PM,today
UA 194,EGE,Arrived,1:44 PM,today
UA 6574,EGE,Now 05:24 PM,4:58 PM,today
UA 427,IAD,Arrived,12:58 PM,today
UA 517,IAD,Arrived,2:24 PM,today
UA 923,LHR,Now 04:25 PM,4:48 PM,today
UA 6088,ICT,Arrived,1:18 PM,today
UA 6665,ICT,Now 05:58 PM,5:32 PM,today
UA 6562,YWG,Arrived,3:15 PM,today
UA 6858,ABQ,On Time,2:41 PM,tomorrow
UA 5851,ABQ,On Time,4:20 PM,tomorrow
UA 6361,ASE,On Time,12:53 PM,tomorrow
UA 6985,ASE,On Time,1:38 PM,tomorrow
UA 6581,ASE,On Time,2:33 PM,tomorrow
UA 6232,ASE,On Time,3:23 PM,tomorrow
UA 6648,ASE,On Time,5:49 PM,tomorrow
UA 7530,ATL,On Time,5:18 PM,tomorrow
UA 7591,AUS,On Time,12:29 PM,tomorrow
UA 7384,AUS,On Time,5:11 PM,tomorrow
UA 441,BWI,On Time,12:44 PM,tomorrow
UA 453,BWI,On Time,5:06 PM,tomorrow
UA 406,BIL,On Time,2:59 PM,tomorrow
UA 6628,BHM,On Time,5:26 PM,tomorrow
UA 6541,BIS,On Time,1:53 PM,tomorrow
UA 6175,BIS,On Time,5:50 PM,tomorrow
UA 6485,BOI,On Time,12:00 PM,tomorrow
UA 6950,BOI,On Time,2:32 PM,tomorrow
UA 828,BOI,On Time,3:54 PM,tomorrow
UA 779,BOS,On Time,5:55 PM,tomorrow
UA 6765,BZN,On Time,3:10 PM,tomorrow
UA 6972,YYC,On Time,2:58 PM,tomorrow
UA 7007,YYC,On Time,6:00 PM,tomorrow
UA 834,CUN,On Time,4:57 PM,tomorrow
UA 6377,CPR,On Time,1:40 PM,tomorrow
UA 6677,CID,On Time,5:57 PM,tomorrow
UA 2257,CLT,Now 01:12 PM,1:41 PM,tomorrow
UA 279,EWR,On Time,12:42 PM,tomorrow
UA 327,ORD,On Time,1:33 PM,tomorrow
UA 909,ORD,On Time,5:00 PM,tomorrow
UA 7439,CVG,On Time,5:20 PM,tomorrow
UA 6942,COS,On Time,1:09 PM,tomorrow
UA 6988,COS,On Time,2:43 PM,tomorrow
UA 7043,COS,On Time,4:02 PM,tomorrow
UA 962,CMH,On Time,4:54 PM,tomorrow
UA 6536,DFW,On Time,1:50 PM,tomorrow
UA 723,DFW,On Time,5:00 PM,tomorrow
UA 7355,DAY,On Time,4:55 PM,tomorrow
UA 7546,DSM,On Time,12:59 PM,tomorrow
UA 6063,DRO,On Time,12:49 PM,tomorrow
UA 6077,DRO,On Time,2:07 PM,tomorrow
UA 6187,DRO,On Time,3:48 PM,tomorrow
UA 6658,YEG,On Time,3:16 PM,tomorrow
UA 6695,ELP,On Time,2:31 PM,tomorrow
UA 6006,FAR,On Time,1:00 PM,tomorrow
UA 6084,FAR,On Time,5:50 PM,tomorrow
UA 6046,XNA,On Time,2:24 PM,tomorrow
UA 6675,FAT,On Time,4:35 PM,tomorrow
UA 6590,GCC,Now 02:36 PM,2:42 PM,tomorrow
UA 6938,GJT,On Time,1:04 PM,tomorrow
UA 6039,GJT,On Time,2:44 PM,tomorrow
UA 6141,GJT,On Time,4:54 PM,tomorrow
UA 6615,GTF,On Time,3:28 PM,tomorrow
UA 6702,GUC,On Time,2:11 PM,tomorrow
UA 6927,HLN,On Time,3:26 PM,tomorrow
UA 7566,IAH,On Time,12:03 PM,tomorrow
UA 3850,IAH,On Time,2:33 PM,tomorrow
UA 3481,IAH,Now 03:37 PM,3:53 PM,tomorrow
UA 3804,IAH,Now 04:53 PM,5:16 PM,tomorrow
UA 6570,HSV,On Time,4:54 PM,tomorrow
UA 6534,IDA,On Time,2:50 PM,tomorrow
UA 7522,IND,On Time,4:55 PM,tomorrow
UA 426,JAC,On Time,3:01 PM,tomorrow
UA 6186,MCI,On Time,1:00 PM,tomorrow
UA 701,MCI,On Time,5:43 PM,tomorrow
UA 6721,LAS,On Time,12:48 PM,tomorrow
UA 98,LAS,On Time,3:00 PM,tomorrow
UA 174,LAS,On Time,3:54 PM,tomorrow
UA 6700,LNK,On Time,1:34 PM,tomorrow
UA 5887,LIT,On Time,5:20 PM,tomorrow
UA 814,LAX,On Time,2:24 PM,tomorrow
UA 336,LAX,On Time,3:58 PM,tomorrow
UA 5888,SDF,On Time,5:55 PM,tomorrow
UA 6641,MSN,On Time,2:47 PM,tomorrow
UA 6033,MEM,On Time,4:59 PM,tomorrow
UA 6467,MAF,On Time,2:44 PM,tomorrow
UA 7534,MSP,On Time,1:00 PM,tomorrow
UA 7588,MSP,On Time,5:42 PM,tomorrow
UA 6871,MOT,On Time,4:00 PM,tomorrow
UA 6735,MSO,On Time,2:50 PM,tomorrow
UA 6627,MLI,On Time,2:31 PM,tomorrow
UA 6119,MTJ,On Time,1:33 PM,tomorrow
UA 6696,MTJ,On Time,5:18 PM,tomorrow
UA 5853,BNA,On Time,5:26 PM,tomorrow
UA 630,MSY,On Time,4:46 PM,tomorrow
UA 405,LGA,On Time,12:41 PM,tomorrow
UA 745,LGA,On Time,5:43 PM,tomorrow
UA 3603,EWR,Now 12:13 PM,1:00 PM,tomorrow
UA 3602,EWR,Now 04:43 PM,5:03 PM,tomorrow
UA 726,OAK,On Time,5:50 PM,tomorrow
UA 735,OKC,On Time,2:23 PM,tomorrow
UA 6034,OKC,On Time,5:43 PM,tomorrow
UA 7461,OMA,On Time,12:48 PM,tomorrow
UA 6834,OMA,On Time,5:00 PM,tomorrow
UA 716,ONT,On Time,4:49 PM,tomorrow
UA 6437,SNA,On Time,2:44 PM,tomorrow
UA 408,SNA,On Time,4:40 PM,tomorrow
UA 259,MCO,On Time,12:40 PM,tomorrow
UA 215,MCO,On Time,5:43 PM,tomorrow
UA 6621,PSP,On Time,1:57 PM,tomorrow
UA 7005,PSP,On Time,4:09 PM,tomorrow
UA 6565,PSC,On Time,3:01 PM,tomorrow
UA 6614,PSC,On Time,5:54 PM,tomorrow
UA 6760,PHX,On Time,2:26 PM,tomorrow
UA 1272,SFO,Now 02:40 PM,3:04 PM,tomorrow
UA 714,PHX,On Time,4:40 PM,tomorrow
UA 6910,PIT,On Time,5:45 PM,tomorrow
UA 6876,PDX,On Time,2:49 PM,tomorrow
UA 872,PVR,On Time,3:49 PM,tomorrow
UA 6607,RAP,On Time,1:00 PM,tomorrow
UA 6643,ORD,On Time,3:27 PM,tomorrow
UA 6883,YQR,On Time,4:21 PM,tomorrow
UA 32,RNO,On Time,2:50 PM,tomorrow
UA 281,RNO,On Time,5:58 PM,tomorrow
UA 6649,RKS,On Time,4:25 PM,tomorrow
UA 6881,SMF,On Time,2:40 PM,tomorrow
UA 448,SMF,On Time,5:13 PM,tomorrow
UA 7448,ORD,On Time,12:54 PM,tomorrow
UA 7435,STL,On Time,5:57 PM,tomorrow
UA 252,SLC,On Time,3:03 PM,tomorrow
UA 7396,SAT,On Time,1:01 PM,tomorrow
UA 7650,SAT,On Time,4:42 PM,tomorrow
UA 342,SAN,On Time,2:54 PM,tomorrow
UA 862,SGN,On Time,2:34 PM,tomorrow
UA 753,SFO,On Time,4:22 PM,tomorrow
UA 6878,SJC,On Time,3:03 PM,tomorrow
UA 6762,SBA,On Time,5:55 PM,tomorrow
UA 6306,YXE,On Time,5:05 PM,tomorrow
UA 876,SIN,On Time,3:01 PM,tomorrow
UA 6937,FSD,On Time,1:51 PM,tomorrow
UA 6960,FSD,On Time,5:49 PM,tomorrow
UA 6819,GEG,On Time,2:43 PM,tomorrow
UA 212,GEG,On Time,4:50 PM,tomorrow
UA 6727,SGF,On Time,2:21 PM,tomorrow
UA 6573,HDN,On Time,1:39 PM,tomorrow
UA 8441,YYZ,Now 03:41 PM,4:05 PM,tomorrow
UA 7632,YYZ,On Time,4:41 PM,tomorrow
UA 6981,TUS,On Time,3:39 PM,tomorrow
UA 5971,TUL,On Time,12:54 PM,tomorrow
UA 6999,TUL,On Time,5:12 PM,tomorrow
UA 194,EGE,On Time,1:44 PM,tomorrow
UA 6574,EGE,On Time,4:58 PM,tomorrow
UA 427,IAD,On Time,12:58 PM,tomorrow
UA 517,IAD,On Time,2:24 PM,tomorrow
UA 923,LHR,On Time,4:48 PM,tomorrow
UA 6088,ICT,On Time,1:18 PM,tomorrow
UA 6665,ICT,On Time,5:32 PM,tomorrow
UA 6562,YWG,On Time,3:15 PM,tomorrow
WN 1959,LAX,On Time,1:55 PM,today
CO 7541,ABQ,On Time,2:41 PM,today
LH 9069,ABQ,On Time,2:41 PM,today
AC 4434,ABQ,On Time,2:41 PM,today
US 7971,ABQ,On Time,2:41 PM,today
WN 1615,DAL,On Time,2:05 PM,today
CO 7743,ASE,On Time,12:53 PM,today
CO 7746,ASE,On Time,1:38 PM,today
LH 9123,ASE,On Time,2:33 PM,today
CO 7747,ASE,On Time,2:33 PM,today
CO 7941,AUS,On Time,12:29 PM,today
AC 4649,AUS,On Time,12:29 PM,today
US 7123,AUS,On Time,12:29 PM,today
CO 6455,BWI,On Time,12:44 PM,today
US 6317,BWI,On Time,12:44 PM,today
AC 5678,BIL,On Time,2:59 PM,today
CO 6899,BIL,On Time,2:59 PM,today
US 6210,BIL,On Time,2:59 PM,today
AC 4221,BOI,On Time,12:00 PM,today
CO 7774,BOI,On Time,12:00 PM,today
LH 9214,BOI,On Time,12:00 PM,today
US 7878,BOI,On Time,12:00 PM,today
AC 4496,BOI,On Time,2:32 PM,today
LH 9018,BOI,On Time,2:32 PM,today
US 7796,BOI,On Time,2:32 PM,today
CO 7759,BOI,On Time,2:32 PM,today
AC 4008,YYC,On Time,2:58 PM,today
ZK 5041,AIA,On Time,2:43 PM,today
US 487,CLT,Now 01:12 PM,1:41 PM,today
AC 5797,EWR,On Time,12:42 PM,today
CO 6370,EWR,On Time,12:42 PM,today
US 6021,EWR,On Time,12:42 PM,today
WN 1576,CMH,On Time,1:25 PM,today
LH 9284,ORD,On Time,1:33 PM,today
CO 6615,ORD,On Time,1:33 PM,today
AC 5781,ORD,On Time,1:33 PM,today
US 6003,ORD,On Time,1:33 PM,today
LH 8917,COS,On Time,1:09 PM,today
US 7316,COS,On Time,1:09 PM,today
AC 4173,COS,On Time,1:09 PM,today
CO 7602,COS,On Time,1:09 PM,today
CO 7598,COS,On Time,2:43 PM,today
LH 9407,COS,On Time,2:43 PM,today
US 7741,COS,On Time,2:43 PM,today
AC 4089,COS,On Time,2:43 PM,today
ZK 5108,CEZ,On Time,12:03 PM,today
US 7813,DFW,On Time,1:50 PM,today
AC 4025,DFW,On Time,1:50 PM,today
CO 7906,DFW,On Time,1:50 PM,today
CO 7799,DSM,On Time,12:59 PM,today
US 7195,DSM,On Time,12:59 PM,today
AC 4680,DSM,On Time,12:59 PM,today
ZK 5040,DDC,On Time,12:30 PM,today
CO 7482,DRO,On Time,12:49 PM,today
CO 7763,DRO,On Time,2:07 PM,today
LH 8913,ELP,On Time,2:31 PM,today
US 6945,FAR,On Time,1:00 PM,today
ZK 5042,GCK,On Time,1:20 PM,today
CO 8092,GCC,Now 02:36 PM,2:42 PM,today
ZK 5180,GRI,On Time,1:04 PM,today
AC 4500,GJT,On Time,1:04 PM,today
CO 7760,GJT,On Time,1:04 PM,today
CO 7288,GJT,On Time,2:44 PM,today
US 7707,GUC,On Time,2:11 PM,today
CO 7769,GUC,On Time,2:11 PM,today
ZK 5068,HYS,On Time,1:51 PM,today
AC 4733,IAH,On Time,12:03 PM,today
US 7567,IAH,On Time,12:03 PM,today
CO 7923,IAH,On Time,12:03 PM,today
CO 601,IAH,On Time,2:33 PM,today
US 7024,IDA,On Time,2:50 PM,today
WN 2367,IND,On Time,12:05 PM,today
CO 7542,MCI,On Time,1:00 PM,today
US 7783,MCI,On Time,1:00 PM,today
WN 12,MCI,On Time,1:10 PM,today
ZK 5002,EAR,On Time,1:31 PM,today
ZK 5144,WRL,On Time,2:37 PM,today
WN 3165,SNA,On Time,12:45 PM,today
AC 4189,LAS,On Time,12:48 PM,today
CO 7540,LAS,On Time,12:48 PM,today
US 7321,LAS,On Time,12:48 PM,today
WN 3469,ONT,On Time,1:45 PM,today
LH 9315,LAS,On Time,3:00 PM,today
ZK 5133,LBL,On Time,12:55 PM,today
US 7687,LNK,On Time,1:34 PM,today
WN 2768,SJC,On Time,12:30 PM,today
WN 2064,SMF,On Time,2:00 PM,today
CO 6643,LAX,On Time,2:24 PM,today
NZ 9072,LAX,On Time,2:24 PM,today
US 6236,LAX,On Time,2:24 PM,today
AC 5712,LAX,On Time,2:24 PM,today
US 7607,MSN,On Time,2:47 PM,today
CO 8101,MAF,On Time,2:44 PM,today
FL 642,MSP,Now 02:17 PM,2:26 PM,today
US 7966,MSP,On Time,1:00 PM,today
AC 4607,MSP,On Time,1:00 PM,today
CO 7919,MSP,On Time,1:00 PM,today
WN 3860,MSP,On Time,2:50 PM,today
ZK 5038,CNY,On Time,1:25 PM,today
US 7166,MLI,On Time,2:31 PM,today
US 7676,MTJ,On Time,1:33 PM,today
US 6209,LGA,On Time,12:41 PM,today
CO 6440,LGA,On Time,12:41 PM,today
CO 228,EWR,Now 12:13 PM,1:00 PM,today
ZK 5136,LBF,On Time,1:07 PM,today
WN 2999,OAK,On Time,1:45 PM,today
WN 2946,DAL,On Time,12:45 PM,today
US 6071,OKC,On Time,2:23 PM,today
AC 5957,OKC,On Time,2:23 PM,today
LH 9115,OKC,On Time,2:23 PM,today
CO 6860,OKC,On Time,2:23 PM,today
US 7863,OMA,On Time,12:48 PM,today
AC 4906,OMA,On Time,12:48 PM,today
CO 7808,OMA,On Time,12:48 PM,today
WN 2779,MDW,On Time,1:00 PM,today
US 7669,SNA,On Time,2:44 PM,today
CO 7654,SNA,On Time,2:44 PM,today
AC 4520,SNA,On Time,2:44 PM,today
US 6872,MCO,On Time,12:40 PM,today
CO 6356,MCO,On Time,12:40 PM,today
AC 5073,MCO,On Time,12:40 PM,today
AC 4128,PSP,On Time,1:57 PM,today
WN 1830,BUR,On Time,12:05 PM,today
US 7653,PHX,On Time,2:26 PM,today
LH 9245,PHX,On Time,2:26 PM,today
AC 4353,PHX,On Time,2:26 PM,today
CO 7850,PHX,On Time,2:26 PM,today
CO 7520,PDX,On Time,2:49 PM,today
US 7218,PDX,On Time,2:49 PM,today
ZK 5153,PUB,On Time,2:04 PM,today
CO 7926,RAP,On Time,1:00 PM,today
AC 5034,RNO,On Time,2:50 PM,today
LH 9309,RNO,On Time,2:50 PM,today
US 6170,RNO,On Time,2:50 PM,today
CO 6887,RNO,On Time,2:50 PM,today
ZK 5093,RIW,On Time,2:35 PM,today
ZK 5116,RKS,On Time,1:20 PM,today
CO 7552,SMF,On Time,2:40 PM,today
US 6913,SMF,On Time,2:40 PM,today
AC 4314,SMF,On Time,2:40 PM,today
LH 8998,SMF,On Time,2:40 PM,today
WN 1442,MCO,On Time,12:40 PM,today
AC 4897,ORD,On Time,12:54 PM,today
US 7609,ORD,On Time,12:54 PM,today
WN 2026,GEG,On Time,2:00 PM,today
US 7823,SAT,On Time,1:01 PM,today
AC 4944,SAT,On Time,1:01 PM,today
LH 9135,SAT,On Time,1:01 PM,today
CO 7879,SAT,On Time,1:01 PM,today
WN 1188,SJC,On Time,1:20 PM,today
LH 9075,SAN,On Time,2:54 PM,today
CO 6471,SAN,On Time,2:54 PM,today
US 6350,SAN,On Time,2:54 PM,today
AC 5856,SAN,On Time,2:54 PM,today
CO 6586,SGN,On Time,2:34 PM,today
NZ 9526,SGN,On Time,2:34 PM,today
US 6066,SGN,On Time,2:34 PM,today
NH 7320,SGN,On Time,2:34 PM,today
AC 5252,SGN,On Time,2:34 PM,today
WN 2163,SFO,On Time,2:35 PM,today
ZK 5112,BFF,On Time,12:23 PM,today
WN 1817,SEA,On Time,2:15 PM,today
ZK 5100,SHR,On Time,2:51 PM,today
US 7919,FSD,On Time,1:51 PM,today
LH 8747,GEG,On Time,2:43 PM,today
US 7824,GEG,On Time,2:43 PM,today
CO 7571,GEG,On Time,2:43 PM,today
US 7646,SGF,On Time,2:21 PM,today
US 7702,HDN,On Time,1:39 PM,today
ZK 5083,TEX,On Time,2:08 PM,today
CO 7578,TUL,On Time,12:54 PM,today
US 7066,TUL,On Time,12:54 PM,today
WN 2093,CLE,On Time,1:05 PM,today
US 6890,EGE,On Time,1:44 PM,today
CO 6447,IAD,On Time,12:58 PM,today
US 6253,IAD,On Time,12:58 PM,today
US 6125,IAD,On Time,2:24 PM,today
CO 6489,IAD,On Time,2:24 PM,today
US 7692,ICT,On Time,1:18 PM,today
WN 1959,LAX,On Time,1:55 PM,tomorrow
CO 7541,ABQ,On Time,2:41 PM,tomorrow
LH 9069,ABQ,On Time,2:41 PM,tomorrow
AC 4434,ABQ,On Time,2:41 PM,tomorrow
US 7971,ABQ,On Time,2:41 PM,tomorrow
WN 1615,DAL,On Time,2:05 PM,tomorrow
CO 7743,ASE,On Time,12:53 PM,tomorrow
CO 7746,ASE,On Time,1:38 PM,tomorrow
LH 9123,ASE,On Time,2:33 PM,tomorrow
CO 7747,ASE,On Time,2:33 PM,tomorrow
CO 7941,AUS,On Time,12:29 PM,tomorrow
AC 4649,AUS,On Time,12:29 PM,tomorrow
US 7123,AUS,On Time,12:29 PM,tomorrow
CO 6455,BWI,On Time,12:44 PM,tomorrow
US 6317,BWI,On Time,12:44 PM,tomorrow
AC 5678,BIL,On Time,2:59 PM,tomorrow
CO 6899,BIL,On Time,2:59 PM,tomorrow
US 6210,BIL,On Time,2:59 PM,tomorrow
AC 4221,BOI,On Time,12:00 PM,tomorrow
CO 7774,BOI,On Time,12:00 PM,tomorrow
LH 9214,BOI,On Time,12:00 PM,tomorrow
US 7878,BOI,On Time,12:00 PM,tomorrow
AC 4496,BOI,On Time,2:32 PM,tomorrow
LH 9018,BOI,On Time,2:32 PM,tomorrow
US 7796,BOI,On Time,2:32 PM,tomorrow
CO 7759,BOI,On Time,2:32 PM,tomorrow
AC 4008,YYC,On Time,2:58 PM,tomorrow
ZK 5041,AIA,On Time,2:43 PM,tomorrow
US 487,CLT,On Time,1:41 PM,tomorrow
AC 5797,EWR,On Time,12:42 PM,tomorrow
CO 6370,EWR,On Time,12:42 PM,tomorrow
US 6021,EWR,On Time,12:42 PM,tomorrow
WN 1576,CMH,On Time,1:25 PM,tomorrow
LH 9284,ORD,On Time,1:33 PM,tomorrow
CO 6615,ORD,On Time,1:33 PM,tomorrow
AC 5781,ORD,On Time,1:33 PM,tomorrow
US 6003,ORD,On Time,1:33 PM,tomorrow
LH 8917,COS,On Time,1:09 PM,tomorrow
US 7316,COS,On Time,1:09 PM,tomorrow
AC 4173,COS,On Time,1:09 PM,tomorrow
CO 7602,COS,On Time,1:09 PM,tomorrow
CO 7598,COS,On Time,2:43 PM,tomorrow
LH 9407,COS,On Time,2:43 PM,tomorrow
US 7741,COS,On Time,2:43 PM,tomorrow
AC 4089,COS,On Time,2:43 PM,tomorrow
ZK 5108,CEZ,On Time,12:03 PM,tomorrow
US 7813,DFW,On Time,1:50 PM,tomorrow
AC 4025,DFW,On Time,1:50 PM,tomorrow
CO 7906,DFW,On Time,1:50 PM,tomorrow
CO 7799,DSM,On Time,12:59 PM,tomorrow
US 7195,DSM,On Time,12:59 PM,tomorrow
AC 4680,DSM,On Time,12:59 PM,tomorrow
ZK 5040,DDC,On Time,12:30 PM,tomorrow
CO 7482,DRO,On Time,12:49 PM,tomorrow
CO 7763,DRO,On Time,2:07 PM,tomorrow
LH 8913,ELP,On Time,2:31 PM,tomorrow
US 6945,FAR,On Time,1:00 PM,tomorrow
ZK 5042,GCK,On Time,1:20 PM,tomorrow
CO 8092,GCC,On Time,2:42 PM,tomorrow
ZK 5180,GRI,On Time,1:04 PM,tomorrow
AC 4500,GJT,On Time,1:04 PM,tomorrow
CO 7760,GJT,On Time,1:04 PM,tomorrow
CO 7288,GJT,On Time,2:44 PM,tomorrow
US 7707,GUC,On Time,2:11 PM,tomorrow
CO 7769,GUC,On Time,2:11 PM,tomorrow
ZK 5068,HYS,On Time,1:51 PM,tomorrow
AC 4733,IAH,On Time,12:03 PM,tomorrow
US 7567,IAH,On Time,12:03 PM,tomorrow
CO 7923,IAH,On Time,12:03 PM,tomorrow
CO 601,IAH,On Time,2:33 PM,tomorrow
US 7024,IDA,On Time,2:50 PM,tomorrow
WN 2367,IND,On Time,12:05 PM,tomorrow
CO 7542,MCI,On Time,1:00 PM,tomorrow
US 7783,MCI,On Time,1:00 PM,tomorrow
WN 12,MCI,On Time,1:10 PM,tomorrow
ZK 5002,EAR,On Time,1:31 PM,tomorrow
ZK 5144,WRL,On Time,2:37 PM,tomorrow
WN 3165,SNA,On Time,12:45 PM,tomorrow
